author,title,user_profile_link,likes,comments,collect,hot_score,collection_score,related_score,minority
霉叔说剧,张作霖杀人立威，完美诠释：什么叫人不狠站不稳！ #少帅 #电视剧解说 #历史,https://www.douyin.com/user/MS4wLjABAAAA_XeLTg3z8PxFPih4YIqZ2vaOlVFjI_j0rY5q2iUxZD_9Za3J1iEtF7TBvaDvuuJ3,3408,41,492,0.0009698867797851562,0.0023975372314453125,0.00045299530029296875,0
山卡拉小妹,莫做生意精，赔了夫人又折兵 #缺斤少两 #一山更比一山高 #农村原创搞笑段子 #社会百态 #农村原创视频,https://www.douyin.com/user/MS4wLjABAAAAz3-dmfm82yl61bC36f42YHzf3NDyUHfTTiiNzCeCghWMos1HBmkei3_ZfCmdH_-H,28565,381,11640,0.001483917236328125,0.0020751953125,0.0004172325134277344,1
coke老师,"颜值担当 技术高超的小猫老师，爱了么？
#火影忍者手游",https://www.douyin.com/user/MS4wLjABAAAApjuAIdCsh1P9bZz3u6ymIjMVeS4EJOZhWQA-avqqXm8,80995,4006,1491,0.0024929046630859375,0.00327301025390625,0.0006437301635742188,0
小飞哥抓鱼花絮vlog,飞哥粉丝花3000包下的鱼塘，究竟是继承亏本飞还是收获满满 #三农 #新农人计划2023 #农村生活 #抓鱼,https://www.douyin.com/user/MS4wLjABAAAAeellF1DEqB9PZOIyFCBtjjX8LGeOJpYhI1o_XAi8Oq9xrK2TLtAwmZdiR1N--kuC,9687,159,3055,0.00157928466796875,0.005138397216796875,0.0007467269897460938,0
哈哈逗你笑,盘点猝不及防的倒霉瞬间，每天一遍防止抑郁#看一遍笑一遍 #搞笑 #猝不及防 #倒霉蛋 #社死现场,https://www.douyin.com/user/MS4wLjABAAAA72C2gNFWTCNcpwjrgG6FyfUSTB7ri-mZImXr1f0OdL8,12958,773,3197,0.0011692047119140625,0.0013666152954101562,0.0004124641418457031,0
程小安,流浪男孩在山下捡到锅以后，直接回家和妹妹一起煮方便面 #我的乡野山居生活 #野外生存 #山居生活,https://www.douyin.com/user/MS4wLjABAAAARyEnk9Ms2UI0hwd7txe0UR0BnhT4RlMu_TdjY4SgOzCLIupQlCssVvr7zI_tvl3j,3808,120,923,0.0015668869018554688,0.0023975372314453125,0.0005593299865722656,0
象棋八妹,老棋王赢了就想走，没门，我一般有仇当场报！,https://www.douyin.com/user/MS4wLjABAAAACyYrl9ANdxM3rqGMMpmMvc01yog__CuU9cPakdP6fCs,12729,685,2063,0.0017824172973632812,0.0017480850219726562,0.000614166259765625,0
人民日报,现场视频！即将启程回国之际 ，习近平和夫人彭丽媛同阮富仲和夫人吴氏敏话别。,https://www.douyin.com/user/MS4wLjABAAAA8U_l6rBzmy7bcy6xOJel4v0RzoR_wfAubGPeJimN__4,355844,74,13293,0.0008296966552734375,0.00000005960464477539063,0.00005519390106201172,0
HK电影,我的规矩就是规矩！#特殊身份 #甄子丹 #安志杰 #经典港片,https://www.douyin.com/user/MS4wLjABAAAAhe84fUwakPkmbWS1CU6sXGN4ifagBg591T9DE53HEElvX4MRuTe3c2kW4JzFU-UW,44758,1581,3176,0.0017957687377929688,0.0013885498046875,0.0006880760192871094,0
七哥民间菜,今天做一道#美蛙鱼，又遭二娃两兄弟吃了耙活！#乡村守护人 #美蛙鱼火锅,https://www.douyin.com/user/MS4wLjABAAAAN_HYpf0lcAyAnaw4_o5DCx3Qumj0f4xve8ImkfT2-7o,67252,2477,12224,0.001495361328125,0.0014162063598632812,0.0005440711975097656,0
